Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
GunPoint,80.01,0.3950,100.0000,99.3333,50,150,150,0.250000,0.670000,50
GunPoint,74.90,0.4710,100.0000,100.0000,50,150,150,0.250000,0.670000,50
GunPoint,69.27,0.4140,100.0000,100.0000,50,150,150,0.250000,0.670000,50
GunPoint,68.60,0.3910,100.0000,100.0000,50,150,150,0.250000,0.670000,50
GunPoint,73.19,0.4530,100.0000,100.0000,50,150,150,0.250000,0.670000,50
GunPoint,78.06,0.3740,100.0000,100.0000,50,150,150,0.250000,0.670000,50
GunPoint,78.99,0.4070,100.0000,100.0000,50,150,150,0.250000,0.670000,50
GunPoint,71.62,0.5500,100.0000,99.3333,50,150,150,0.250000,0.670000,50
GunPoint,67.92,0.6820,100.0000,100.0000,50,150,150,0.250000,0.670000,50
GunPoint,72.86,0.4570,100.0000,100.0000,50,150,150,0.250000,0.670000,50
